Year,Paper,Slug,3D shape,active vision,actuators,adaptation,ageing,alignment of signals,animation,assistive technology,asynchrony,attention,attractive/repulsive prompt,audiovisual simultaneity,augmented reality,avatars,bayesian model,binocular cue,biological motion,body ownership,causality,collision awareness,communication,compliance perception,composite objects,computational modelling,context,crossmodal,crossmodal intervals,cue integration,cueing,cues,curvature,cyber-physical systems,dancing,data analysis,data visualization,database,deformable models,delay,depth perception,detection threshold,device,diffusion model,discrimination,disparity,distance,duration distortions,EEG,entrainment,expectation,extended reality / virtual reality,filled-duration illusion,fMRI,force discrimination,force feedback,force perception,frequency,gestural input,gestures,glossiness,grasping,hand,hand tracking,handover,haptic perception,haptic rendering,haptics,human-computer interaction,human-in-the-loop,human-robot interaction,illumination,illusion,illusions,index finger,integration,interaction design,interval filling,isochrony,jerk,JND,joysticks,kalman filter,keyboard,kinematics,latency,learning,lighting,linear regression model,locomotion,locomotion technique,material perception,measurement method,mixed reality,motion,motion perception,motion tracking,motor control,movement analysis,movement method,multisensory integration,multisensory perception,multisensory time perception,music,musical scale,mvpa,navigation,nervous system,neuroimaging,oculomotor,optic flow,optimal fusion,orientation,perceived duration,perceived timing,perception,perceptual dynamics,peripersonal space,photic stimulation,physiology,pinch grasp,position error,posterior fusiform sulcus,predictive perception,prior entry,prior knowledge,proprioception,psychometric function,psychophysics,reaction time,recalibration,redundant sensory estimates,representation,rhythm,rigidity constraint,robot grasping,robotics,roughness,self-touch,sensory information,sensory latency,sensory thresholds,shadow,shape from shading,short-interval duration,signal processing,simulation,skin,skin stretch,slant,slant perception,softness,spatial,spatial acuity,spatial integration,spectral,specularity,speech,speed-accuracy tradeoff,stiffness,stiffness perception,structure from motion,subjective simultaneity,surface gloss,synchronisation,synchrony perception,tactile,tactile sensitivity,task analysis,teleoperation,temporal expectation,temporal integration,temporal order judgment,temporal perception,temporal recalibration,temporal sensitivity,text,text entry,texture,thumb,time shift,tone frequency,touch,touch perception,tracking,trajectory,travel,usability,user evaluation,v3b/ko,vibrotactile,vibrotactile guidance,virtual character,virtual environment,virtual grasping,virtual hand interaction,virtual hands,virtual reality,vision,visual feedback,visual motion,visual perception,visual-haptic integration,visualization,wearable,weight perception,wrist
2022,Skin and mechanoreceptor contribution to tactile input for perception: a review of simulation models,deflorio-2022,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Locomotion Vault: the Extra Mile in Analyzing VR Locomotion Techniques,di-luca-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,x,,,,x,,,
2021,PrendoSim: Proxy-Hand-Based Robot Grasp Generator,abdlkarim-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,
2021,Systems and methods for delivering a plurality of haptic effects,di-luca-2021b,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,
2021,Systems and methods for delivering a plurality of haptic effects,di-luca-2021c,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,
2021,Tactile Echoes: Multisensory Augmented Reality for the Hand,kawazoe-2021,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,
2020,Causality shifts the perceived temporal order of audiovisual events.,fornaciai-2020,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Contact forces in roughness discrimination,roberts-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
2020,"Methods, devices, and systems for creating localized haptic stimulations on a user",keller-2020,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,
2020,"Static weight perception through skin stretch and kinesthetic information: detection thresholds, JNDs, and PSEs",van-beek-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
